,query,url,clicks,impressions,ctr,position,city,query_type
5,цветы,https://cvety.kz/,68,18399,0.003695853035491059,4.266644926354694,,
199,пионы,https://cvety.kz/products/20204/,4,13631,0.00029344875651089427,1.2572811972709266,,
51,цветы,https://cvety.kz/almaty/,12,9022,0.001330082021724673,7.439924628685436,,
13,цветы фото,https://cvety.kz/products/15673/,37,8261,0.004478876649316063,1.036194165355284,,
61,гипсофилы,https://cvety.kz/blog/gipsofily-znachenie-buketa-i-tsvetkov/,10,5235,0.0019102196752626551,10.214899713467048,,
17,гипсофилы,https://cvety.kz/almaty/flowers/gipsofila/,27,5040,0.005357142857142857,5.651388888888889,,
55,кустовые розы,https://cvety.kz/astana/flowers/shrub-roses/,11,4884,0.0022522522522522522,6.642915642915643,,
416,клубника в шоколаде,https://cvety.kz/products/15894/,2,4565,0.0004381161007667032,2.817524644030668,,
90,вкусняшки,https://cvety.kz/products/16190/,7,4287,0.0016328434802892467,1.4422673198040588,,
50,роза,https://cvety.kz/almaty/flowers/roses/,12,4052,0.0029615004935834156,7.321816386969398,,
