Top pages,Clicks,Impressions,CTR,Position
https://cvety.kz/,4622,158745,2.91%,9.52
https://cvety.kz/almaty/,1801,141363,1.27%,8.24
https://cvety.kz/blog/nuzhno-li-stavit-buket-iz-gipsofily-v-vazu-s-vodoy/,1108,72418,1.53%,10.03
https://blog.cvety.kz/etiket-dareniya-cvetov,1004,28480,3.53%,17.49
https://cvety.kz/almaty/flowers/cheap/,924,55110,1.68%,7.76
https://blog.cvety.kz/flowershop,795,24879,3.2%,20.65
https://cvety.kz/kostanay/,759,31847,2.38%,5.93
https://cvety.kz/blog/bukety-iz-gipsofily-kak-zasushit-i-khranit-kachim-v-vide-sukhotsveta/,752,23540,3.19%,11.18
https://blog.cvety.kz/floral-foam,739,35546,2.08%,9.83
https://cvety.kz/pavlodar/,639,27561,2.32%,5.76
https://blog.cvety.kz/peony,597,80984,0.74%,9.47
https://blog.cvety.kz/men-gifts,556,48888,1.14%,23.28
https://cvety.kz/shymkent/,470,24497,1.92%,6.23
https://cvety.kz/astana/flowers/cheap/,414,59347,0.7%,6
https://cvety.kz/astana/plants/,396,17351,2.28%,7.26
https://cvety.kz/almaty/flowers/roses/,330,77202,0.43%,8.62
https://blog.cvety.kz/lilly,326,26821,1.22%,12.92
https://cvety.kz/en/almaty/,320,3832,8.35%,8.21
https://cvety.kz/en/,319,5957,5.36%,6.46
https://blog.cvety.kz/how-to-dry-flowers,255,19750,1.29%,10.84
https://blog.cvety.kz/roses,250,27526,0.91%,3.97
https://blog.cvety.kz/hen-party-gift,248,9993,2.48%,10.13
https://cvety.kz/karaganda/,243,16658,1.46%,8.35
https://cvety.kz/blog/gipsofily-znachenie-buketa-i-tsvetkov/,239,40049,0.6%,9.28
https://cvety.kz/astana/balloons/,239,15189,1.57%,9.89
https://cvety.kz/blog/kak-dolgo-mozhet-stoyat-kompozitsiya-iz-gipsofily/,235,26753,0.88%,6.63
https://cvety.kz/almaty/flowers/chrysanthemums/,231,42240,0.55%,11.3
https://cvety.kz/almaty/flowers/gipsofila/,205,37770,0.54%,7.69
https://blog.cvety.kz/calla,191,28006,0.68%,11.75
https://blog.cvety.kz/top15almaty,189,7142,2.65%,13.35
https://cvety.kz/astana/flowers/peonies/,163,29089,0.56%,16.27
https://cvety.kz/uralsk/,149,6563,2.27%,11.95
https://cvety.kz/astana/flowers/roses/,148,30641,0.48%,10.47
https://cvety.kz/rudny/,142,3088,4.6%,6.37
https://cvety.kz/almaty/flowers/hydrangeas/,141,23435,0.6%,11.96
https://blog.cvety.kz/first-date-bouquet,135,6086,2.22%,17.68
https://blog.cvety.kz/hrizantemy,133,10956,1.21%,16.23
https://cvety.kz/taraz/,132,8133,1.62%,7.32
https://cvety.kz/astana/flowers/shrub-roses/,130,25372,0.51%,9.01
https://cvety.kz/almaty/flowers/shrub-roses/,125,20552,0.61%,8.23
https://blog.cvety.kz/alstroemeria,125,10452,1.2%,11.23
https://cvety.kz/aktobe/,125,10036,1.25%,9.63
https://cvety.kz/aktau/,116,6387,1.82%,8.21
https://cvety.kz/kokshetau/,109,6630,1.64%,12.41
https://cvety.kz/ust-kamenogorsk/,106,7167,1.48%,9.94
https://cvety.kz/almaty/flowers/peony-roses/,101,20399,0.5%,11.45
https://cvety.kz/products/15673/,100,82761,0.12%,3.03
https://cvety.kz/shymkent/flowers/hydrangeas/,99,3458,2.86%,10.35
https://cvety.kz/almaty/flowers/in-the-basket/,98,23432,0.42%,13.91
